north(m) east(m),
817023.0597 839681.3312,
817026.2455 839676.9536,
817029.0675 839673.076,
817031.8894 839669.1985,
817034.7113 839665.3209,
817037.5333 839661.4434,
817040.3552 839657.5658,
817043.1771 839653.6883,
817045.9991 839649.8107,
817048.821 839645.9332,
817051.6429 839642.0556,
817054.4649 839638.1781,
817057.2868 839634.3005,
817059.7412 839630.2369,
817062.1955 839626.1733,
817064.6499 839622.1098,
817067.1043 839618.0462,
817069.5586 839613.9826,
817072.013 839609.919,
817074.3461 839605.7417,
817076.6792 839601.5644,
817079.0123 839597.3871,
817081.3455 839593.2099,
817083.6786 839589.0326,
817086.0117 839584.8553,
817088.3448 839580.678,
817090.3224 839576.2158,
817092.3 839571.7536,
817094.2775 839567.2913,
817096.2551 839562.8291,
817098.2327 839558.3669,
817100.1765 839554.0146,
817102.1202 839549.6622,
817104.064 839545.3099,
817105.8401 839541.5744,
817107.6162 839537.839,
817109.3923 839534.1035,
817110.8501 839529.9519,
817112.308 839525.8003,
817113.7658 839521.6486,
817115.2236 839517.497,
817116.5388 839513.2661,
817117.854 839509.0353,
817119.1692 839504.8044,
817120.4845 839500.5736,
817121.7997 839496.3427,
817123.1149 839492.1118,
817124.4301 839487.881,
817125.7453 839483.6501,
817127.0264 839479.064,
817128.3075 839474.4779,
817129.5886 839469.8918,
817130.8697 839465.3056,
817132.1508 839460.7195,
817133.4319 839456.1334,
817134.713 839451.5473,
817135.9941 839446.9612,
817137.2752 839442.3751,
817138.5562 839437.7889,
817139.8373 839433.2028,
817141.1184 839428.6167,
817142.3995 839424.0306,
817143.6806 839419.4445,
817144.9617 839414.8584,
817146.2428 839410.2722,
817147.5239 839405.6861,
817148.805 839401.1,
817150.317 839396.4546,
817151.829 839391.8092,
817153.341 839387.1638,
817154.853 839382.5184,
817156.365 839377.873,
817157.877 839373.2276,
817159.389 839368.5822,
817160.901 839363.9368,
817162.413 839359.2914,
817163.925 839354.646,
817165.437 839350.0006,
817166.949 839345.3552,
817168.461 839340.7098,
817169.973 839336.0644,
817171.485 839331.419,
817172.997 839326.7736,
817174.509 839322.1282,
817176.021 839317.4828,
817177.533 839312.8374,
817179.045 839308.192,
817180.5569 839303.5465,
817182.0689 839298.9011,
817183.5809 839294.2557,
817185.0929 839289.6103,
817186.6049 839284.9649,
817188.1169 839280.3195,
817189.6289 839275.6741,
817191.1409 839271.0287,
817192.6529 839266.3833,
817194.1649 839261.7379,
817195.6769 839257.0925,
817197.1889 839252.4471,
817198.7009 839247.8017,
817200.2129 839243.1563,
817201.7249 839238.5109,
817203.2369 839233.8655,
817204.7489 839229.2201,
817206.2609 839224.5747,
817207.7729 839219.9293,
817209.2849 839215.2839,
817210.4872 839211.7012,
817211.6894 839208.1185,
817213.0007 839204.2108,
817214.312 839200.3032,
817215.6233 839196.3955,
817217.0403 839191.9088,
817218.4573 839187.422,
817219.8742 839182.9353,
817221.2912 839178.4486,
817222.7082 839173.9618,
817224.1252 839169.4751,
817225.5421 839164.9884,
817226.9591 839160.5017,
817228.3761 839156.0149,
817229.7931 839151.5282,
817231.21 839147.0415,
817232.627 839142.5547,
817234.044 839138.068,
817235.267 839133.2707,
817236.49 839128.4733,
817237.713 839123.676,
817238.936 839118.8787,
817240.159 839114.0813,
817241.382 839109.284,
817242.3778 839104.5668,
817243.3736 839099.8496,
817244.3694 839095.1324,
817245.3652 839090.4152,
817246.361 839085.698,
817246.361 839085.698,
817246.6136 839083.2474,
817247.066 839078.8586,
817247.5134 839074.5191,
817247.9607 839070.1795,
817248.408 839065.84,
817248.7218 839061.7805,
817249.0357 839057.721,
817249.3495 839053.6615,
817249.6634 839049.602,
817249.9772 839045.5425,
817250.104 839040.9282,
817250.2307 839036.3139,
817250.3575 839031.6995,
817250.4842 839027.0852,
817250.611 839022.4709,
817250.5096 839017.8819,
817250.4082 839013.2929,
817250.3067 839008.704,
817250.2053 839004.115,
817250.1039 838999.526,
817249.9821 838994.653,
817249.8602 838989.7799,
817249.7919 838987.0469,
817249.7236 838984.3139,
817249.2095 838980.0602,
817248.6954 838975.8064,
817248.1813 838971.5527,
817247.7405 838967.6616,
817247.2997 838963.7705,
817246.8589 838959.8793,
817246.4181 838955.9882,
817244.8132 838952.1696,
817243.2082 838948.351,
